SMILES,pIC50
COc1ccc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(NC5CCOC5)nc34)c2)cc1C(F)(F)F,9
CN1CCN(c2cc(NC(=O)c3ccc(F)c(Nc4ncnc5cnc(NC6CCOC6)nc45)c3)cc(C(F)(F)F)c2F)CC1,9
Cc1ccc(C(=O)Nc2cccc(C(C)(C)C#N)c2)cc1Nc1ncnc2cnc(N3CCCN(C)CC3)nc12,8.52
Cc1ncc(NC(=O)c2ccnc(C(C)(F)F)c2)cc1-c1ccnc(N2CCOCC2)c1,8.39
CC(=O)Nc1cccc(Cn2c(=O)oc3cc(OC(=O)N(C)C)ccc3c2=O)c1,5
Cc1ccc(C(=O)Nc2cc(C(C)(C)C)n[nH]2)cc1Nc1ncnc2cnc(NC3CCOC3)nc12,9
Cc1ccc(C(=O)Nc2cc(C(C)(C)C)on2)cc1Nc1ncnc2cnc(N(C)C3CC(N4CCN(C)CC4)C3)nc12,8.7
Cc1cc(Oc2ccnc(NC(=O)C3CC3)c2)ccc1NC(=O)Nc1cc(OC(F)(F)F)ccc1F,7.89
O/N=C1\CCc2cc(-c3cn([C@H]4CCC[C@@H]4O)nc3-c3ccncc3)ccc21,9.48
Cc1cc(Oc2ccc(NC(=O)Nc3cccc(C(F)(F)F)c3)cc2)ncn1,5.9
COC(=O)Nc1nc2ccc(C(=O)c3ccccc3C(=O)Nc3cc(Br)ccc3C)cc2[nH]1,7
Cc1ccc(NC(=O)c2cc(C(C)(C)C)on2)cc1Nc1ncnc2cnc(N3CCN(C)CC3)nc12,6.89
COc1cc(Nc2cncc(Oc3cccc4cnccc34)n2)cc(OC)c1OC,5.42
Cc1ccc(NC(=O)c2cncnc2)cc1-c1ccnc(N2CCOCC2)c1,6.22
Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(Oc3ccnc4[nH]c(=O)c(=O)[nH]c34)cc2F)cc1,7.085
CNC(=O)c1cc(Cn2ccc3cc(NC(=O)Nc4ccc(Cl)c(C(F)(F)F)c4)ccc32)ccn1,6.29
CCOC(=O)c1cnn2c(-c3cccc(NC(=O)Nc4ccc(C)c(C(F)(F)F)c4)c3)ccnc12,6.44
Cc1cc(Oc2ccnc(NC(=O)C3CC3)c2)ncc1NC(=O)Nc1cc(C(F)(F)F)ccc1F,8.14
O=c1[nH]c2cccc(Oc3cccc(NS(=O)(=O)Cc4cccc(OC(F)(F)F)c4)c3)c2[nH]1,4.945
O=S(=O)(NCCCNc1nccc(-c2[nH]c(-c3ccccc3)nc2-c2ccc(F)c(O)c2)n1)c1ccc(Br)cc1,7.58
CNc1cc(C2(C(=O)Nc3cc(C(=O)Nc4ccc(CN5CCOCC5)c(C(F)(F)F)c4)ccc3C)CC2)ncn1,7.54
COC(=O)Nc1nc2cc(C3(O)c4ccccc4C(=O)N3c3cccc(Cl)c3F)ccc2[nH]1,7
Cc1ccc(NC(=O)c2cccc(S(C)(=O)=O)c2)cc1C(=O)Nc1cccnc1,7.96
O=C(c1cccc(C(F)(F)F)c1F)N1N=C(c2cccnc2)CC1c1ccccc1O,5
CCCS(=O)(=O)Nc1cccc(-c2ccc3nccc(Nc4cccc5[nH]ncc45)c3c2)c1,6.585
COc1ccc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(N5CCN(CC6CCN(C)CC6)CC5)nc34)c2)cc1C(F)(F)F,9
CNC(=O)c1cc(Oc2ccc3nc(Nc4ccccc4Br)ncc3c2)ccn1,4.62
O=C(Nc1cccc(-c2ncnc3cc(-c4ccncc4)sc23)c1)c1cccc(C(F)(F)F)c1,6.27
Cc1ccc(C(=O)Nc2cc(N3C[C@@H](C)N[C@@H](C)C3)cc(C(F)(F)F)c2)cc1Nc1ncnc2cnc(N3CCOCC3)nc12,8.52
COC(=O)Nc1nc2ccc(C3(O)c4ccccc4C(=O)N3c3ccc(Cl)c(Cl)c3F)cc2[nH]1,7
Cc1ccc(C(=O)Nc2cccc(Cl)c2)cc1Nc1ncccc1-c1ncnc2[nH]cnc12,8.89
CCCS(=O)(=O)Nc1cc(F)cc(-c2[nH]c(C3CC3)nc2-c2ccnc(NC(C)C)n2)c1Cl,8.3
O=S(=O)(Nc1ccc(F)c(Nc2ncccc2-c2ncnc3[nH]cnc23)c1F)c1ccc(Cl)c(Cl)c1,6.14
Cc1ccc(NS(=O)(=O)CC(C)C)cc1Nc1ncnc2cnc(N3CCN(C)CC3)nc12,5
O=S(=O)(NCCCNc1nccc(-n2ccc3cccnc32)n1)c1ccc(Br)cc1,6.46
CC(C)(C#N)c1cccc(NC(=O)c2ccc(F)c(Nc3ncnc4cnc(N5CCOCC5)nc34)c2)c1,8.4
COc1cc(Nc2cncc(-c3cccc(NC(C)=O)c3)c2)cc(OC)c1OC,4.59
CC(C)Nc1cc(Oc2ccc(NC(=O)Nc3cccc(C(F)(F)F)c3)cc2)ncn1,6.1
O=c1[nH][nH]c(=O)c2cc(Nc3cccc(O)c3)c(Nc3cccc(O)c3)cc12,6.54
Cc1ncc(NC(=O)c2cccc(C(F)(F)F)c2)cc1-c1cc(N2CCOCC2)nc(OCCO)n1,8.73
O=C(Nc1cccc(Oc2cccc3[nH]c(=O)[nH]c23)c1)c1ccnc(Cl)c1,4.015
COc1cc2ncnc(Oc3cccc(NC(=O)Nc4ccc(C(C)(C)C)cc4)c3)c2cc1OC,6.54
Cc1ccc(C(=O)Nc2cccc(N(C)C)c2)cc1Nc1ncnc2cnc(N3CCCC3)nc12,8
Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1-c1cn2ccnc2c(N2CCOCC2)n1,9.41
O/N=C1\CCc2cc(-c3cn(C4CCOCC4)nc3-c3ccncc3)ccc21,9.66
